"4754","0","de Broek"
"4755","0","De Broijer"
"4756","0","de Brou"
"4757","0","De Brouwer"
"4758","0","De Broux"
"4759","0","de Bruyne"
"4760","0","De Burbure"
"4761","0","de Burck"
"4762","0","de Burlet"
"4763","0","de Burleus"
"4764","0","de Cagnij"
"4765","0","de Caters"
"4766","0","de Chavau"
"4767","0","de Chesne"
"4768","0","de Clerck"
"4769","0","de Clercq"
"4770","0","de Cock"
"4771","0","de Cocqueau"
"4772","0","de Cocquiel"
"4773","0","de Cooman"
"4774","0","de Cordes"
"4775","0","De Coster"
"4776","0","De Coussemaker"
"4777","0","de Crombrugghe"
"4778","0","de Cruenare"
"4779","0","de Cuvelier"
"4780","0","de Cuyper"
"4781","0","De Facq"
"4782","0","de Fauconval"
"4783","0","de Flines"
"4785","0","de Gamond"
"4786","0","de Gelcke"
"4787","0","De Gendt"
"4788","0","de Genellis"
"4789","0","de ghijselbrechs"
"4790","0","de Gieij"
"4791","0","de Gilman"
"4792","0","de Goes"
"4793","2280","De Grave"
"4794","0","de Groof"
"4795","0","de Gruijtters"
"4796","0","de Gruyters"
"4797","0","De Gruytters"
"4798","0","De Haen"
"4799","0","de Haybe"
"4800","0","de Haze"
"4801","0","De Hert"
"4802","0","de Jardin"
"4803","0","de Jode"
"4804","0","De Kinder"
"4805","0","de Knuyt"
"4806","0","de Koninck"
"4807","0","De L'Espée"
"4808","0","de La Drier"
"4809","0","De La Mock"
"4810","0","de La Rue"
"4811","0","de la Ruelle"
"4812","0","de Lang"
"4813","0","de Latin"
"4814","0","de Lattre"
"4815","0","de le Vielleuze"
"4816","3174","de Leeuw"
"4817","0","de Lens"
"4818","0","de Lespes"
"4819","0","De Letter"
"4820","0","De Liagre"
"4821","0","de Lichtervelde"
"4822","0","De Liedel"
"4823","0","de Limpens"
"4824","0","De Lincé"
"4825","0","De Louvroy"
"4826","0","De Man"
"4827","0","de Marbaix"
"4828","0","de Maret"
"4829","0","de Marteau"
"4830","0","De Masnuy"
"4831","0","de Meester"
"4832","0","de Meijere"
"4833","0","De Mesemaecker"
"4834","0","de Meulder"
"4835","0","De Meuldre"
"4836","2318","de Mol"
"4837","0","De Mortier"
"4838","0","de Moulin"
"4839","0","de Mulder"
"4840","0","de Mulié"
"4841","0","de Muller"
"4842","0","De Nachtegael"
"4843","0","de Necker"
"4844","0","de Neckere"
"4845","0","de Nef"
"4846","0","de Nerée"
"4847","0","de Neufforge"
"4848","0","de Neve"
"4849","0","de Noot"
"4850","2321","De Pape"
"4851","0","de Paul"
"4853","0","de Pauwelaert"
"4854","0","de Pitteurs"
"4855","0","de Podbielski"
"4856","0","de Portemont"
"4857","0","De Potter"
"4858","0","de Prit"
"4859","0","de Raedt"
"4860","0","de Rijm"
"4861","0","De Rijst"
"4862","0","de Robiano"
"4863","0","de Roeck"
"4864","0","de Roij"
