tag_001,IE PID,value,url
9992238992201488,IE8989789,https://lib.is/IE8989789/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1482
9992238994801488,IE8987156,https://lib.is/IE8987156/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1476
9992239103601488,IE8984780,https://lib.is/IE8984780/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1473
9992239410501488,IE8997088,https://lib.is/IE8997088/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1440
9992239418601488,IE8996132,https://lib.is/IE8996132/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1437
9992239484301488,IE8994455,https://lib.is/IE8994455/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1431
9992239494301488,IE8992832,https://lib.is/IE8992832/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1428
9992239531301488,IE9001138,https://lib.is/IE9001138/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1443
9992239580201488,IE8996806,https://lib.is/IE8996806/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1434
9992241006701488,IE9143873,https://lib.is/IE9143873/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1446
9992241172901488,IE9136986,https://lib.is/IE9136986/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1395
9992241185901488,IE9144857,https://lib.is/IE9144857/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1392
9992241201701488,IE9144455,https://lib.is/IE9144455/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1389
9992241248401488,IE9140046,https://lib.is/IE9140046/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1401
9992241391701488,IE9138972,https://lib.is/IE9138972/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1398
9992241898401488,IE9141894,https://lib.is/IE9141894/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1407
9992242003001488,IE9140862,https://lib.is/IE9140862/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1404
9992243101701488,IE9142608,https://lib.is/IE9142608/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1410
9992246345201488,IE9488786,https://lib.is/IE9488786/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1416
9992246369501488,IE9436368,https://lib.is/IE9436368/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1413
9992246804101488,IE9437046,https://lib.is/IE9437046/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1353
9992246897201488,IE9438488,https://lib.is/IE9438488/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1356
9992247586101488,IE9440876,https://lib.is/IE9440876/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1362
9992248697801488,IE9442652,https://lib.is/IE9442652/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1365
9992249305001488,IE9458310,https://lib.is/IE9458310/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1368
9992249505501488,IE9459054,https://lib.is/IE9459054/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1371
9992249564201488,IE9463851,https://lib.is/IE9463851/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1383
9992249573501488,IE9462633,https://lib.is/IE9462633/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1380
9992249588801488,IE9459984,https://lib.is/IE9459984/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1377
9992249767001488,IE9314416,https://lib.is/IE9314416/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1332
