"descriptor","place_id_fk"
"Altera Ecclesia","1148"
"Altere","6"
"Altimontanus","4334"
"Altimontensis","4334"
"Altisidioriensis","0"
"Altisteniensis","891"
"Altoif","892"
"Altre","6"
"Alussdorenensis","0"
"Alustanus","5"
"Alustensis","5"
"Alven","893"
"Alverijnghen","13"
"Alveringen","13"
"Alveringhem","13"
"Alveringhen","13"
"Alvermille","894"
"Alzatius","895"
"Ama","897"
"Amaij","903"
"Amaliensis","898"
"Amandensis","899"
"Amandinas","900"
"Amandinensis","901"
"Amanetensis","902"
"Amanieniss","903"
"Amaniensis","903"
"Amberloux","904"
"Ambesin","906"
"Ambesiniensis","906"
"Ambianensis","15"
"Ambianus","15"
"Ambienensis","9097"
"Ambiennensis","9097"
"Ambiensis","9097"
"ambo ab Oudewatere","6526"
"Ambresain","906"
"Ambresin","906"
"Ambresineaux","906"
"Ambsterodamus","17"
"Amburgensis","3844"
"Ambus","896"
"Ambyanensis","0"
"Amelfordiensis","916"
"Amellensis","14"
"Amensis","910"
"Ameracensis","911"
"Amerfordensis","916"
"Amerfordiani","916"
"Amerfordiensis","916"
"Amerfortius","916"
"Amerfurtensis","916"
"Americanus","913"
"Americo-Carthaginensis","913"
"Amerongensis","914"
"Amersfatensis","916"
"Amersfodiensis","916"
"Amersfordensis","916"
"Amersfordianus","0"
"Amersfordienses","916"
"Amersfordiensis","916"
"Amersfortensis","916"
"Amersfortii","916"
"Amersfortiius","916"
"Amersfortius","916"
"Amersfurtiensis","916"
"Amersvordiensis","916"
"Amerswordiensis","916"
"Amesfordiensis","916"
"Amesfortius","916"
"Ameswordiensis","916"
"Ametensis","917"
"Amibianus","15"
"Amisfortensis","916"
"Amisfurtensis","916"
"Ammaniensis","919"
"Ammensis","920"
"Ammersfordiensis","916"
"Ammiensis","922"
"Amoffort","916"
"Amonensis","3848"
"Amonin","923"
"Amonine","923"
"Amorfortius","916"
"Amorsfordianus","916"
"Amorsfordiensis","916"
"Amorsfortensis","916"
"Amorsfortius","916"
"Amortsfortius","916"
"Amougijs","909"
"Ampsijs","924"
"Ampsin","924"
"Ampsiniensis","924"
"Ampstelodamensis","17"
"Amsango","925"
"Amsdonck","926"
"Amselodamensis","17"
"Amseranus","927"
"Amsfordianus","916"
"Amsfordiensis","916"
"Amsfortanus","928"
"Amsiniensis","924"
"Amspelare","929"
"Amstelamensis","17"
"Amsteldamensis","17"
"Amsteldolamensis","17"
"Amsteledamensis","17"
"Amstelldamensis","17"
"Amstelledamensis","17"
"Amstellodamensis","17"
"Amstelodamenses","0"
"Amstelodamensis","17"
"Amstelodamiensis","17"
"Amstelodamnensis","17"
"Amstelodamus","17"
"Amstelodanensis","17"
"Amstelodmus","17"
"Amstelredam","17"
"Amstelredamensis","17"
"Amstelredamus","17"
"Amstelrodamensis","17"
"Amstelrodamus","17"
"Amstelveen","931"
"Amstenraed","16"
"Amstenraet","16"
"Amstenraeth","16"
"Amsteodamensis","17"
"Amsterdamenses","17"
"Amsterdamensis","17"
"Amsterdamiensis","17"
"Amsterdamma","17"
"Amsterdammenses","17"
"Amsterdammensis","17"
"Amsterdammis","17"
"Amsterdammnsis","17"
"Amsterdammus","17"
"Amsterdamus","17"
"Amsteredamensis","17"
"Amsterledamensis","17"
"Amsterledamus","17"
"Amsterlodamensis","17"
"Amsterodamensis","17"
"Amsterodamensiss","17"
"Amsterodamus","17"
"Amsterveel","931"
"Amstervenensis","17"
"Amstredamenses","17"
"Amstredamensis","17"
"Amsuranus","3838"
"Amsvoordiensis","916"
"Amtiniensis","983"
"Anabergensis","932"
"Anapensis","933"
"Anceroeulle","24"
"Anchyensis","934"
"Anciniensis","934"
"Anckoniensis","935"
"Andalensis","18"
"Andanensis","18"
"Andaniensis","18"
"Andavensis","936"
"Andegavensis","937"
"Andeleckensis","19"
"Andeliis","4910"
"Anden","18"
"Andenaecken","6516"
"Andenensis","18"
"Andenne","18"
"Andennensis","18"
"Andennes","18"
"Andensis","18"
"Anderlacensis","19"
"Anderlecht","19"
"Anderlechtensis","19"
"Anderlectanus","19"
"Anderlectensis","19"
"Anderleght","19"
"Anderleus","20"
"Anderleux","20"
"Anderlieu","20"
"Anderlobbiensis","938"
"Anderlobiensis","939"
"Anderlu","20"
"Anderlucensis","20"
"Anderlue","20"
"Anderluensis","20"
"Anderlues","20"
"Anderlusensis","20"
"Andernach","940"
"Andernacus","940"
"Anderstade","941"
"Anderstat","942"
"Andigem","943"
"Andoniacensis","945"
"Andoniensis","946"
"Andree montis Sancti","5886"
"Andreenensis","0"
"Andregnie","947"
"Andregnies","1133"
"Andrelectensis","19"
"Andreliensis","948"
"Andrelucensis","19"
"Andrenij","949"
"Andrimont","950"
"Androignies","1133"
"Anduverpiensis","26"
"Ane","1139"
"Anecensis","22"
"Aneciacensis","22"
"Aneciensis","0"
"Anecio","22"
"Anefiensis","3871"
"Anelocensis","951"
"Anesciacensis","22"
"Anesiacensis","22"
"Anessiacensis","22"
"Anetiacensis","22"
"Anetio","22"
"Anezensis","952"
"Angea","175"
"Angelus","6237"
"Angensis","175"
"Anghianus","175"
"Anghiensis","175"
"Anghus","750"
"Angia","955"
"Angiam","175"
"Angianus","175"
"Angiensis","175"
"Angiesis","175"
"Angin","956"
"Anginensis","175"
"Angli","0"
"Angli Natione","750"
"Anglia","750"
"Anglici","750"
"Anglicus","750"
"Anglie","750"
"Anglius","750"
"Angllus","750"
"Anglus","750"
"Anglus in Britannia","750"
"Angre","957"
"Angue","958"
"Anguen","959"
"Anguensis","960"
"Anguiensis","961"
"Anhee","963"
"Ania Sancti Petri","3803"
"Anicensis","964"
"Aniciensis","966"
"Aniel","967"
"Aniensis","968"
"Anietensis","969"
"Ankeveen","21"
"Anloij","970"
"Anloy","970"
"Anmeriensis","971"
"Annaing","996"
"Annaniensis","974"
"Annanus","972"
"Annechiaiensis","22"
"Anneci","22"
"Annecia","22"
"Annecicensis","22"
"Anneciensis","22"
"Annecij","22"
"Annecio","22"
"Annecio Gebennensis","22"
"Annecio Genevensis","22"
"Annecio-","22"
"Anneciogenevensis","22"
"Annelij","22"
"Annemontanus","973"
"Annesciacensis","22"
"Annesciensis","22"
"Annesio","22"
"Annessiacensis","22"
"Annessio","22"
"Annia Sancti Petri","3803"
"Anniensis","975"
"Annisio","22"
"Anno","976"
"Annoeullin","2950"
"Annoriensis","977"
"Annoriexus","978"
"Annulin","2950"
"Anoriensis","0"
"Anqre","957"
"Ansembourg","23"
"Ansenbergensis","23"
"Anserem","979"
"Ansereme","979"
"Anseremme","979"
"Anseren","979"
"Ansereuil","24"
"Ansereulle","24"
"Anserim","979"
"Anstelodamus","17"
"Anstelredamensis","17"
"Ansterdammensis","17"
"Ansuranensis","980"
"Ansuranus","981"
"Antensis","982"
"Anteremme","979"
"Antgardiensis","984"
"Anthanstreviensis","985"
"Anthé","986"
"Anthensis","988"
"Anthet","987"
"Anthinne","983"
"Anthinnes","983"
"Anthoin","25"
"Anthoniensis","25"
"Anthverpiensis","26"
"Antin","983"
"Antinne","983"
"Antiquo Minij","0"
"Antoij","989"
"Antoin","25"
"Antoing","25"
"Antoniensis","25"
"Antonimensis","25"
"Antragiensis","991"
"Antrimensis","992"
"Antrovicanus","993"
"Antuverpienses","26"
"Antuverpiensis","26"
"Antuwerpiensis","0"
"Antverpeiensis","0"
"Antverpia","26"
"Antverpianus","26"
"Antverpienses","26"
"Antverpiensis","26"
"Antverpiensos","26"
"[Antverpienssi] Antverpiensis","26"
"Antwerpeinsis","26"
"Antwerpensis","26"
"Antwerpia","26"
"Antwerpianus","26"
"Antwerpie","26"
"Antwerpiensis","26"
"Anuellanus","994"
"Anuiniensis","995"
"Anuverpiensis","26"
"Anuwerpiensis","26"
"Anvancus","996"
"Anverpiensis","26"
"Anwerpianus","26"
"Anwerpiensis","26"
"Aorinnes","997"
"Aoscotanus","0"
"Aost","757"
"Aostensis","998"
"Aotgardiensis","6541"
"Apoldorius","999"
"Appel","1000"
"Appels","1000"
"Appelteiren","1001"
"Appelterre","1001"
"Appelterrensis","1001"
"Appkoudanus","772"
"Approbasiensis","6432"
"Apriessiacensis","1002"
"Aprinensis","0"
"apud Alcmariam","865"
"apud Aldenardum","490"
"apud Antverpiam","26"
"apud Antwerpiam","26"
"apud Avesnas","1169"
"apud Bredam","108"
"apud Burborch","1856"
"apud Buscumducis","546"
"apud Casletum","2168"
"apud civitatem Trajectensem","5375"
"apud Delft","154"
"apud Diest","162"
"apud Horrenen","2595"
"apud Insulas","529"
