fm_id,type
5989,printed
5990,printed
5991,printed
5992,printed
5993,printed
5994,printed
5995,printed
5996,printed
5998,printed
5999,printed
6000,printed
6001,printed
6002,printed
6003,printed
6004,printed
6005,printed
6006,printed
6007,printed
6008,printed
6013,printed
6014,printed
6018,printed
6019,printed
6020,printed
6021,printed
6022,printed
6023,printed
6024,printed
6025,printed
6026,printed
6027,printed
6028,printed
6029,printed
6030,printed
6031,printed
6032,printed
6033,printed
6034,printed
6035,printed
6036,printed
6037,printed
6038,printed
6039,printed
6040,printed
6041,printed
6042,printed
6043,printed
6044,printed
6045,printed
6046,printed
6047,printed
6048,printed
6049,printed
6050,printed
6051,printed
6052,printed
6053,printed
6054,printed
6055,printed
6056,printed
6059,printed
6060,printed
6061,printed
6062,printed
6063,printed
6064,printed
6065,printed
6066,printed
6067,printed
6068,printed
6069,printed
6070,printed
6071,printed
6072,printed
6073,printed
6074,printed
6075,printed
6076,printed
6077,printed
6078,printed
6079,printed
6080,printed
6081,printed
6082,printed
6083,printed
6084,printed
6085,printed
6086,printed
6087,printed
6088,printed
6089,printed
6090,printed
6091,printed
6092,printed
6093,printed
6094,printed
6095,printed
6096,printed
6097,printed
6098,printed
6099,printed
6100,printed
6101,printed
6102,printed
6103,printed
6105,printed
6106,printed
6107,printed
6108,printed
6109,printed
6110,printed
6111,printed
6112,printed
6113,printed
6114,printed
6115,printed
6116,printed
6117,printed
6118,printed
6119,printed
6121,printed
6122,printed
6123,printed
6124,printed
6125,printed
6126,printed
6127,printed
6128,printed
6129,printed
6130,printed
6131,printed
6132,printed
6133,printed
6134,printed
6135,printed
6136,printed
6137,printed
6138,printed
6139,printed
6140,printed
6141,printed
6142,printed
6143,printed
6144,printed
6145,printed
6146,printed
6147,printed
6148,printed
6149,printed
6151,printed
6152,printed
6153,printed
6154,printed
6155,printed
6156,printed
6157,printed
6158,printed
6159,printed
6160,printed
6161,printed
6162,printed
6163,printed
6164,printed
6165,printed
6166,printed
6167,printed
6168,printed
6169,printed
6170,printed
6171,printed
6172,printed
6173,printed
6174,printed
6175,printed
6176,printed
6177,printed
6179,printed
6180,printed
6181,printed
6182,printed
6183,printed
6184,printed
6186,printed
6187,printed
6188,printed
6189,printed
6190,printed
6191,printed
6192,printed
6193,printed
6194,printed
6195,printed
6196,printed
6197,printed
6198,printed
6200,printed
6201,printed
6202,printed
6203,printed
6204,printed
6205,printed
6206,printed
6207,printed
6208,printed
6209,printed
6210,printed
6211,printed
6212,printed
6213,printed
6214,printed
6215,printed
6216,printed
6217,printed
6218,printed
6219,printed
6220,printed
6221,printed
6222,printed
6223,printed
6224,printed
